FULL_ID_FACILITIES (COMPOSITION OF: STR + ID_REGION + ID_ASL + ID_FACILITIES + COD_ASSISTANCE_TYPE),ID_FCAILITIES,ID_REGION,ID_ASL,TOWN,ID_TOWN,POSTAL_CODE,FACILITIES_TYPE,ID_ANTI_DRUG_CLINIC,ID_COMMUNITY_CENTER,COMMUNITY_CENTER_TYPE,ID_DIALYSIS_CENTER,ID_DIURNAL_CENTER,DIURNAL_CENTER_TYPE,ID_FAMILY_COUNSELLING,ID_HOSPICE,ID_HOSPITAL,ID_LABORATORY,ID_MENTAL HEALTH CENTER,ID_MULTIPLE_SCLEROSIS_CLINIC,ID_POLYCLINIC,ID_PROVINCE_HEALTHCARE_CENTER,ID_PSYCHIATRIC_RESIDENCE,ID_PUBLIC SOCIAL_SERVICE_COMPANY,ID_THERMAL_BATH,ID_TREATMENT_CENTER,FACILITIES_NAME_ITA,VAT_NUMBER (PARTITA_IVA),WEB_SITE,E_MAIL,ADDRESS,PHONE,FAX,ID_ASSISTANCE_TYPE,ASSISTANCE_TYPE_ITA,ASSISTANCE_TYPE,FACILITIES_RELATION_TYPE (INSIDE NHS -> TICKET VISIT OR OUTSIDE NHS -> FULL PRICE VISIT) SSN: SERVIZIO SANITARIO NAZIONALE -> NHS: National Health System,FACILITIES_RELATION_TYPE _ITA,UNIT_TYPE,UNIT_TYPE_ITA,LATITUDE_POINT,LONGITUDE_POINT,DECIMAL_DEGREE_LATITUDE_POINT,DECIMAL_DEGREE_LONGITUDE_POINT
STR042101051600S06,51600,42,101,TRENTO,22205,38122,ANTI-DRUG CLINIC,1,,,,,,,,,,,,,,,,,,SER.T,1429410226,www.apss.tn.it,SertTrento@apss.tn.it,VIA GOCCIADORO  47,461364777,461364780,S06,ASSISTENZA PER TOSSICODIPENDENTI,DRUG ADDICT ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,997.08.00,2177.15.00,"46,057068","11,129975"
STR042101052010S06,52010,42,101,TRENTO,22205,38121,ANTI-DRUG CLINIC,2,,,,,,,,,,,,,,,,,,ASSOCIAZIONE CENTRO ANTIDROGA,949850226,www.centroantidroga-tn.it,camparta@gmail.com,MASO ZANCANELLA   GARDOLO,461961336,461991351,S06,ASSISTENZA PER TOSSICODIPENDENTI,DRUG ADDICT ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,2367.23.00,2196.45.00,"46,139283","11,131145"
STR042101052029S11,52029,42,101,TRENTO,22205,38122,ANTI-DRUG CLINIC,3,,,,,,,,,,,,,,,,,,ASSOCIAZIONE CENTRO ANTIDROGA ONLUS-COMUNITA' TERAP. PER LA CURA DEI DISTURBI ALIMENTARI,949850226,www.centrocuradisturbialimentari-tn.it,amministrazionecad@gmail.com,VIA PALAZZINE   MASO ZANCANELLA,461960338,461961336,S11,ASSISTENZA AI DISABILI PSICHICI,PSYCHIC DISABLE ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,1952.49.00,1752.19.00,"46,114409","11,104479"
STR042101032003S11,32003,42,101,CARANO,22041,38033,COMMUNITY CENTER,,1,GENERAL,,,,,,,,,,,,,,,,COMUNITA' RESIDENZIALE TEMPORANEA MASO TOFFA,1848220222,www.oltre.coop,masotoffa@oltre.coop,LOCALITA  CELA  16,462235298,462235298,S11,ASSISTENZA AI DISABILI PSICHICI,PSYCHIC DISABLE ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,4938.13.00,6977.35.00,"46,293533","11,417995"
STR042101040503S05,40503,42,101,LEVICO TERME,22104,38056,COMMUNITY CENTER,,2,GENERAL,,,,,,,,,,,,,,,,RESIDENZA PSICHIATRICA LEVICO - I RODODENDRI,1429410226,www.apss.tn.it,psichiatriapergine@apss.tn.it,VIA SLUCCA DE MATTEONI  10,461727832,461727844,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,205.09.00,5076.54.00,"46,009549","11,303954"
STR042101041501S11,41501,42,101,PRIMIERO SAN MARTINO DI CASTROZZA,22245,38054,COMMUNITY CENTER,,3,GENERAL,,,,,,,,,,,,,,,,COMUNITA' RESIDENZIALE TEMPORANEA PICCOLO PRINCIPE,1186250229,,principeprimiero@gmail.com,VIA MARCONI  7   PIEVE,43964672,43964672,S11,ASSISTENZA AI DISABILI PSICHICI,PSYCHIC DISABLE ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,2935.43.00,13768.27.00,"46,173383","11,825447"
STR042101050807S05,50807,42,101,TRENTO,22205,38123,COMMUNITY CENTER,,4,GENERAL,,,,,,,,,,,,,,,,COMUNITA' 'CASA DEL SOLE',1429410226,,,VIA MENGUZZATO  50,461390472,,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,696.27.00,2264.56.00,"46,039027","11,135236"
STR042101052200S06,52200,42,101,VALLELAGHI,22248,38070,COMMUNITY CENTER,,5,GENERAL,,,,,,,,,,,,,,,,COMUNITA' DI ACCOGLIENZA CASA DI GIANO,1190120228,www.giano.org,accoglienza@citiesse.org,VIA DI MAIANO  55   LOCALITA  S  MASSENZA,461864106,461933048,S06,ASSISTENZA PER TOSSICODIPENDENTI,DRUG ADDICT ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,1300.54.00,16411.23.00,"46,075294","10,984083"
STR042101052300S06,52300,42,101,VALLELAGHI,22248,38070,COMMUNITY CENTER,,6,GENERAL,,,,,,,,,,,,,,,,COMUNITA' TERAPEUTICA CASA DI GIANO,1190120228,www.citiesse.org,comunita@citiesse.org,VIA DI MAIANO  55   LOCALITA  S MASSENZA,461864106,461933048,S06,ASSISTENZA PER TOSSICODIPENDENTI,DRUG ADDICT ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,1300.54.00,16411.23.00,"46,075294","10,984083"
STR042101060801S05,60801,42,101,CLES,22062,38023,COMMUNITY CENTER,,7,GENERAL,,,,,,,,,,,,,,,,"APPARTAMENTO PROTETTO ""IL MELO""",1429410226,www.apss.tn.it,,VIA TRENTO  42,463421701,,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,59355.22.00,6458.27.00,"46,3558562","11,0386847"
STR042101060901S05,60901,42,101,CLES,22062,38023,COMMUNITY CENTER,,8,GENERAL,,,,,,,,,,,,,,,,APPARTAMENTO PROTETTO,1429410226,www.apss.tn.it,,VIA  SAN VITO,463422901,,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,6083.05.00,4410.44.00,"46,362225","11,0263984"
STR042101070301S05,70301,42,101,MALÈ,22110,38027,COMMUNITY CENTER,,9,GENERAL,,,,,,,,,,,,,,,,APPARTAMENTO PROTETTO,1429410226,www.apss.tn.it,,VIA MILANO  4,463901040,,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,5863.22.00,15182.37.00,"46,349042","10,910357"
STR042101081705S11,81705,42,101,VALDAONE,22232,38080,COMMUNITY CENTER,,10,GENERAL,,,,,,,,,,,,,,,,COMUNITA' RESIDENZIALE TEMPORANEA - BERSONE,1182560225,,graziascaglia@libero.it,VIA CHIESA  4 LOC  BERSONE,3299060064,465296884,S11,ASSISTENZA AI DISABILI PSICHICI,PSYCHIC DISABLE ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,15785.57.00,10562.36.00,"45,944457","10,633156"
STR042101100105S05,100105,42,101,ROVERETO,22161,38068,COMMUNITY CENTER,,11,GENERAL,,,,,,,,,,,,,,,,GRUPPO APPARTAMENTO PROTETTO ROVERETO,,www.apss.tn.it,,VIA BENACENSE  17,464422944,,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,147094.52.00,6472.49.00,"45,8822992","11,0387709"
STR042101100901S06,100901,42,101,VILLA LAGARINA,22222,38060,COMMUNITY CENTER,,12,GENERAL,,,,,,,,,,,,,,,,ASSOCIAZIONE 'VOCE AMICA' O.N.L.U.S.,1376950224,,voceamicatn@libero.it,VIA GIARDINI  34,464413736,464499287,S06,ASSISTENZA PER TOSSICODIPENDENTI,DRUG ADDICT ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,15408.06.00,560.39.00,"45,921786","11,032979"
STR042101100903S06,100903,42,101,VILLA LAGARINA,22222,38060,COMMUNITY CENTER,,13,GENERAL,,,,,,,,,,,,,,,,ASSOCIAZIONE TRENTINA NUOVI ORIZZONTI ONLUS,94031290227,www.nuoviorizzonti.org,nuoviorizzonti.tn@gmail.com,LOCALITÀ BELLARIA DI CEI,464800002,464800002,S06,ASSISTENZA PER TOSSICODIPENDENTI,DRUG ADDICT ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,16003.50.00,546.33.00,"45,95753","11,032133"
STR042101100905S11,100905,42,101,ROVERETO,22161,38068,COMMUNITY CENTER,,14,GENERAL,,,,,,,,,,,,,,,,COMUNITA' RESIDENZIALE TEMPORANEA GIRASOLE - ROVERETO,1085050225,www.coopgirasole.org,com.residenziale@coopgirasole.org,VIA FLAIM  3,464437209,464438914,S11,ASSISTENZA AI DISABILI PSICHICI,PSYCHIC DISABLE ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,14834.37.00,666.17.00,"45,887377","11,039317"
STR042101103105S11,103105,42,101,MORI,22123,38065,COMMUNITY CENTER,,15,GENERAL,,,,,,,,,,,,,,,,COMUNITA' RESIDENZIALE TEMPORANEA VILLA ARGIA - MORI,476340229,,info@villaargia@libero.it,VIA DEL GARDA  101,464917116,464917116,S11,ASSISTENZA AI DISABILI PSICHICI,PSYCHIC DISABLE ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,14270.33.00,16060.59.00,"45,853533","10,963059"
STR042101052023S07,52023,42,101,TRENTO,22205,38122,COMMUNITY CENTER,,16,AIDS,,,,,,,,,,,,,,,,CTS - COMUNITA' ACCOGLIENZA AIDS,1190120228,www.citiesse.org,info@citiesse.org,LAMAR DI GARDOLO,461933179,461933048,S07,ASSISTENZA AIDS,AIDS ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,2019.12.00,187.53.00,"46,118392","11,10613"
STR042101041305S10,41305,42,101,LEVICO TERME,22104,38056,COMMUNITY CENTER,,17,DISABLED PEOPLE,,,,,,,,,,,,,,,,CENTER FOR DISABLED PEOPLE --,272610221,www.centrodonziglio.it,info@centrodonziglio.it,VIA SILVA DOMINI  37,461706055,461702007,S10,ASSISTENZA AI DISABILI FISICI,DISABLE PERSON ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,261.26.00,5074.50.00,"46,012926","11,30383"
