"COD_PPREL_OD","COD_REGIONE","COD_ASL","COD_PPREL","COD_COMUNE","COMUNE","INDIRIZZO","TELEFONO","NOTE","LATITUDINE_P","LONGITUDINE_P","LATITUDINE_V","LONGITUDINE_V"
"PP042101001","042","101","001","022001","ALA","Piazza S.Giovanni XXII","0464 675859","Piano terra del Presidio Ospedaliero di Ala. Orario prelievi: da Lun a Ven, dalle 7:30 alle 9:00. Si effettuano prelievi anche a bambini sotto i 6 anni, salvo casi particolari. Presenza di punto cassa aziendale","45.756172","11.000795","45,756172","11,000795"
"PP042101002","042","101","002","022002","ALBIANO","Via S. Antonio, 30","0461 220077","Gio dalle 7:30 alle 9:00. Struttura privata accreditata: Laboratorio Adige. Non si effettuano prelievi pediatrici (sotto i 6 anni). No punto cassa","46.144988","11.193329","46,144988","11,193329"
"PP042101003","042","101","003","022003","ALDENO","Via Florida, 1","0461 220077","Mar dalle 7:00 alle 9:00. Struttura privata accreditata: Laboratorio Adige. Non si effettuano prelievi pediatrici (sotto i 6 anni). No punto cassa","45.975733","11.092698","45,975733","11,092698"
"PP042101004","042","101","004","022005","ANDALO","Piazza Paganella, 3","0461 231314","Mar e Ven dalle 7:30 alle 9:30. Struttura privata accreditata: Laboratorio Druso. Non si effettuano prelievi pediatrici (sotto i 6 anni) Presenza di punto cassa - no bancomat","46.1637596","11.003541","46,1637596","11,003541"
"PP042101005","042","101","005","022006","ARCO","Via Capitelli, 48","0464 582281","L'accettazione viene effettuata presso gli sportelli Cassa all'entrata dell'Ospedale Civile. L'ambulatorio prelievi e' posto al secondo livello dell'Ospedale. Orario prelievi: da Lun a Ven dalle 7:30 alle 9:30. Si effettuano prelievi per adulti e bambini anche in eta' inferiore ai 6 anni. Presenza punto cassa aziendale","45.9192","10.8741","45,9192","10,8741"
"PP042101006","042","101","006","022009","BASELGA DI PINE'","Frazione Montagnaga via 4 Novembre, 29","0461 559500","Punto prelievi presso APSP Villa Alpina. Orario prelievi: Mar e Gio dalle 7:30 alle 9:00. Prelievi pediatrici: a partire dai 6 anni di eta'. Non presenza di punto cassa aziendale","46.103828","11.237955","46,103828","11,237955"
"PP042101007","042","101","007","022229","LEDRO","Loc. Bezzecca, 6","0464 591042","Punto prelievi presso APSP Giacomo Cis. Prelievi: Mar e Gio dalle 7:45 alle 9:15 - piano terra. Ritiro referti: da Lun a Ven dalle 9:00 alle 12:30 c/o ufficio amm.vo primo piano. Non si effettuano prelievi pediatrici (sotto i 6 anni). No punto cassa","45.917721","10.715561","45,917721","10,715561"
"PP042101008","042","101","008","022022","BORGO VALSUGANA","Via Vicenza 9","0461 755204","L'accettazione viene effettuata presso lo sportello del punto prelievi situato al secondo piano della palazzina Nuovo edificio del Distretto Bassa Valsugana. L'ambulatorio prelievi e' posto sul medesimo piano, nel locale adiacente allo sportello. Orario prelievi: da Lun a Ven dalle 7:30 alle 9:00. Si effettuano prelievi pediatrici senza limiti di eta' previa valutazione medica. Presenza di punto cassa aziendale","46.0568","11.4646","46,0568","11,4646"
"PP042101009","042","101","009","022025","BRENTONICO","Via Balista, 7","0464 395967","Punto prelievi presso APSP di Brentonico. Lun e Gio dalle 8:00 alle 9:30 Non si effettuano prelievi a bambini di eta' inferiore ai 10 anni si accettano pero' campioni di urina. Struttura accreditata. No punto cassa","45.817434","10.95871","45,817434","10,95871"
"PP042101010","042","101","010","022050","CAVALESE","Via Dossi, 17","0462 242238","L'accettazione viene effettuata presso lo sportello dell'ufficio prestazioni-cassa, adiacente all'entrata dell'Ospedale in Via Dossi, 17.  L'ambulatorio prelievi e' posto sul medesimo piano, dopo la portineria. Prelievi pediatrici: per bambini inferiori ai 6 anni presso la Pediatria Ospedale di Cavalese. Orario prelievi: da Lun a Ven, dalle 7:30 alle 9:10","46.2884","11.4551","46,2884","11,4551"
"PP042101011","042","101","011","022053","CAVEDINE","Via Ospedale, 24","0461 231314","Punto prelievi presso APSP Valle dei Laghi. Mer e Ven dalle 8:00 alle 9:00. Struttura privata accreditata: Laboratorio Druso. Non si effettuano prelievi pediatrici (sotto i 6 anni). Presenza di punto cassa - no bancomat","46.009362","10.971222","46,009362","10,971222"
