PARAPHARMACY,FULL_ID_PARAPHARMACY (COMPOSE OF: PFA + 0 + ID_REGION + ID_ASL + 00 + ID_PARA_PHARMACY),ID_PARAPHARMACY,PARAPHARMACY_NAME,VAT_NUMBER (PARTITA_IVA),POSTAL_CODE,ID_TOWN,TOWN,ADDRESS,ID_PROVINCE,PROVINCE,ID_ASL,ID_REGION,REGION,OPEN_DATE,LATITUDE_POINT,LONGITUDE_POINT,DECIMAL_DEGREE_LATITUDE_POINT,DECIMAL_DEGREE_LONGITUDE_POINT
1,PFA042101002507,2507,COOP SUPERSTORE CENTRO COMM.DIR.TRENTO SUD,1542000227,38100,22205,TRENTO,VIA DE GASPERI 1-11-12-13-17,TN,TRENTO,101,42,PROV. AUTON. TRENTO,2007-01-01,293.43.00,15850.59.00,"46,14863","11,0950399"
2,PFA042101002508,2508,COOP SUPERSTORE MILLENIUM,1542000227,38068,22161,ROVERETO,VIA DEL GARDA 95,TN,TRENTO,101,42,PROV. AUTON. TRENTO,2007-01-01,458.725.985.975.744,11.021.257.749.762,"45,8725986","11,02125775"
3,PFA042101003394,3394,ERBORISTERIA ANCUSA,1457730222,38057,22139,PERGINE VALSUGANA,VIA REGENSBURGER 43,TN,TRENTO,101,42,PROV. AUTON. TRENTO,2007-06-01,460.702.663.118.121,112.376.773.447.364,"46,07026631","11,23767734"
4,PFA042101003686,3686,ARS MEDICA DI LAURA BALDUCCI & LORENZA VENTURA SNC,1534610223,38086,22143,PINZOLO,VIA MARCONI 20,TN,TRENTO,101,42,PROV. AUTON. TRENTO,2007-08-01,461.590.562.564.702,107.632.459.687.159,"46,15905626","10,76324597"
5,PFA042101003915,3915,PARAFARMACIA DOTT.SSA SITTONI ANGELA,2037520224,38057,22139,PERGINE VALSUGANA,VIA 3 NOVEMBRE NR. 1,TN,TRENTO,101,42,PROV. AUTON. TRENTO,2007-09-01,1059.49.00,4041.01.00,"46,060829","11,241801"
6,PFA042101004180,4180,DARMA IL FARMASTORE,1997290224,38057,22139,PERGINE VALSUGANA,VIA TAMARISI 2,TN,TRENTO,101,42,PROV. AUTON. TRENTO,2007-11-01,10319.24.00,39985.34.00,"46,0616404","11,2398474"
7,PFA042101004198,4198,FARMA SRL,2373650221,38066,22153,RIVA DEL GARDA,VIALE DANTE 30,TN,TRENTO,101,42,PROV. AUTON. TRENTO,2015-06-01,4.588.637.199.999.990,14053.13.00,"45,88637199999999","10,842593"
8,PFA042101004590,4590,PARAFARMACIA ESSERE BENESSERE,1469460297,38032,22039,CANAZEI,STREDA DOLOMITES 103,TN,TRENTO,101,42,PROV. AUTON. TRENTO,2013-06-01,841.26.00,1251.18.00,"46,47726","11,74418"
9,PFA042101006268,6268,FARMA  SRL,2279210229,38068,22161,ROVERETO,VIA ROSMINI 50,TN,TRENTO,101,42,PROV. AUTON. TRENTO,2013-03-01,148634.35.00,6426.53.00,"45,8915375","11,0384953"
10,PFA042101006752,6752,DARMA IL FARMASTORE,1997290224,38123,22205,TRENTO,VIALE VERONA 67/69,TN,TRENTO,101,42,PROV. AUTON. TRENTO,2010-09-01,460.427.575.586.414,111.314.631.169.961,"46,04275756","11,13146312"
11,PFA042101007773,7773,PARAFARMACIA,2227470222,38086,22143,PINZOLO,"VIA CIMA TOSA, 49/B MADONNA DI CAMPIGLIO",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2011-11-01,462.330.224.772.044,108.249.051.653.774,"46,23302248","10,82490517"
12,PFA042101007978,7978,A FIOR DI PELLE,2190770228,38030,22226,ZIANO DI FIEMME,VIA DELL' ISCHIA 8,TN,TRENTO,101,42,PROV. AUTON. TRENTO,2012-01-01,462.696.363.876.654,115.827.165.518.511,"46,26963639","11,58271655"
13,PFA042101008788,8788,PHARMAVITAE SRL,7974200961,38064,22087,FOLGARIA,VIA ROMA 27,TN,TRENTO,101,42,PROV. AUTON. TRENTO,2012-10-01,459.156.012.850.045,111.722.331.817.432,"45,91560129","11,17223318"
14,PFA042101009866,9866,CORNER PARAFARMACIA C/O SUPERMERCATI POLI MARAMEO,2251300220,38122,22205,TRENTO,CORSO 3 NOVEMBRE 57,TN,TRENTO,101,42,PROV. AUTON. TRENTO,2013-11-01,1061.19.00,2099.47.00,"46,060919","11,125327"
15,PFA042101010198,10198,ANIMAL STORE MOLINO PONTALTI SRL,2217160221,38045,22061,CIVEZZANO,"LOCALITÀ MOCHENA, 5",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2014-04-01,1524.31.00,3050.42.00,"46,088711","11,182382"
16,PFA042101010308,10308,GRANDI MAGAZZINI REGINA,823460225,38062,22006,ARCO,"VIA S. CATERINA, 78",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2014-05-01,15226.15.00,14554.40.00,"45,910875","10,87268"
17,PFA042101010690,10690,PARAFARMACIA FESTA DEL DOTT. CANDEAGO ALESSANDRO S.A.S,2353200229,38035,22118,MOENA,"PIAZZALE PIAZ DE RAMON, 54",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2014-11-01,6322.27.00,11029.45.00,"46,376587","11,661125"
18,PFA042101011443,11443,CORNER PARAFARMACIA C/O GRANDI MAGAZZINI REGINA,2804370241,38062,22006,ARCO,"VIA SANTA CATERINA, 78",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2018-04-01,152381.42.00,146192.56.00,"45,9140202","10,8770976"
19,PFA042101011453,11453,PARAFARMACIA RIVA DEL GARDA,1447650332,38066,22153,RIVA DEL GARDA,"VIA PADOVA, 5",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2015-11-01,147193.19.00,142445.21.00,"45,8828899","10,8546121"
20,PFA042101011463,11463,PARAFARMACIA DR. ROBERTO GIUS,2397190220,38122,22205,TRENTO,"VIA GIUSEPPE CANESTRINI, 25",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2015-11-01,159.24.00,205.45.00,"46,06804","11,11685"
21,PFA042101011470,11470,CONAD,2347740223,38068,22161,ROVERETO,"CORSO ROSMINI, 31",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2017-12-01,148535.29.00,6512.18.00,"45,8909429","11,0390078"
22,PFA042101011481,11481,PARAFARMACIA LAGORAI DI VALERIA MANGIAFICO,2082670221,38033,22050,CAVALESE,"PIAZZA SCOPOLI, 5",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2015-11-01,12509.13.00,20302.26.00,"46,0747793","11,1217486"
23,PFA042101011575,11575,PARAFARMACIA LA PERLA DI RIGONI LUCA,2353460229,38035,22118,MOENA,"PIAZZA SOTEGRAVA, 15",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2016-01-01,12509.13.00,20302.26.00,"46,0747793","11,1217486"
24,PFA042101011625,11625,PARAFARMACIA IL FARMACISTA DEL CENTRO,2409660228,38051,22022,BORGO VALSUGANA,"CORSO VICENZA, 47",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2016-02-01,134.05.00,829.45.00,"46,05285","11,49125"
25,PFA042101011706,11706,PARAFARMACIA CAMPAGNOLA,2412470227,38017,22117,MEZZOLOMBARDO,"VIA TRENTO, 65/A",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2016-05-01,25380.04.00,16463.36.00,"46,1520044","11,0987156"
26,PFA042101012096,12096,COLORVISION OUTLET SRL,2430000220,38121,22205,TRENTO,"VIA DEI SOLTERI, 4/3",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2016-09-01,1463.35.00,2059.07.00,"46,085055","11,122887"
27,PFA042101012158,12158,FARMASI',2466720220,38122,22205,TRENTO,"VIA SS. TRINITA', 12",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2017-10-01,12509.13.00,20302.26.00,"46,0747793","11,1217486"
28,PFA042101012403,12403,PARAFARMACIA SAN MARTINO,1232670222,38054,22174,SIROR,"VIA PASSO ROLLE, 108",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2017-01-01,481.58.00,1344.19.00,"46,26158","11,79999"
29,PFA042101012650,12650,PARAFARMACIA GALILEI,2257880225,38122,22205,TRENTO,"VIA G. GALILEI, 31",TN,TRENTO,101,42,PROV. AUTON. TRENTO,2017-05-01,22771.23.00,11.092.278.599.999.900,"46,1363523","11,092278599999986"
